Latitude,Longitude,Month,Year,Publication
38.523,-28.626,4,2013,Lopes_etal2017
28.95,-13.544,,,Makie1960
49.4,-123.88,,,Mapstone2009
-34.167,-53.667,,,Mianzan1990
-34.7,-53.167,,,Mianzan1990
1.378,103.804,,,Nicholas2012
8,-23,6,1817,Olfers1820-21
-4.168,144.868,8,1987,Pages_Gili_Bouillon1990
-27.834,14.817,12,1988,Pages1991
-24.1399,18.43,10,1989,Pages1991
-22.646,14.52,2,1989,Pages1991
-34.357,18.47,3,1991,Pages1991
-27.144,-109.43,,,Palma1999
20.83,70.4667,,,Pandya_etal2017
33.234,126.607,7,1985,Park_Song2004
33.949,126.316,7,1990,Park_Song2004
30.228,-88.669,1,1969,Philips1972
30.36,-88.81,2,1969,Philips1972
-31.916,115.741,,,Pontin_Cruikshank2012
-27.4,153.185,,,Pontin_Cruikshank2012
-36.987,153.131,,,Pontin_Cruikshank2012
28.23,-177.37,,,Pontin_Cruikshank2012
22.07,159.514,,,Pontin_Cruikshank2012
-36.832,174.78,,,Pontin_Cruikshank2012
-36.949,174.705,,,Pontin_Cruikshank2012
-37.633,176.196,,,Pontin_Cruikshank2012
-39.278,173.721,,,Pontin_Cruikshank2012
-40.377,175.225,,,Pontin_Cruikshank2012
-40.84,173.025,,,Pontin_Cruikshank2012
-41.085,176.077,,,Pontin_Cruikshank2012
-40.921,174.956,,,Pontin_Cruikshank2012
-41.255,173.238,,,Pontin_Cruikshank2012
-42.714,170.96,,,Pontin_Cruikshank2012
-43.508,172.736,,,Pontin_Cruikshank2012
29.5,-85.433,12,1981,Purcell1984b
28.5,-93.5,12,1981,Purcell1984b
30,-77.5,5,1982,Purcell1984b
34,-74,5,1982,Purcell1984b
35.296,139.338,6,1961,
53.654,-3.033,,1874,Sloan1891
33.694,135.338,8,1968,Tokioka1970
33.692,135.338,6,1969,Tokioka1970
33.694,135.338,9,1969,Tokioka1973
33.694,135.338,4,1971,Tokiaka1973
33.692,135.338,6,1971,Tokiaka1973
33.693,135.346,8,1972,Tokiaka1973
36.5,-36.4,5,1957,Totton1960
39.83333333,-124.5333333,5,1957,Totton1960
36,-43.33333333,6,1957,Totton1960
27.25,-17.2,10,1925,Totton1960
16.31666667,-18.4,10,1925,Totton1960
8.1,-17.1,11,1925,Totton1960
7.283333333,-16.31666667,11,1925,Totton1960
-25.08333333,-15.28333333,11,1925,Totton1960
-25.78333333,-14.8,11,1925,Totton1960
-3.366666667,-32.41666667,12,1925,Totton1960
-35.3,-19.01666667,6,1926,Totton1960
13.03333333,-21.58333333,8,1927,Totton1960
-34.23333333,15.01666667,5,1930,Totton1960
-24.26666667,15.03333333,6,1930,Totton1960
-34.13333333,-29.83333333,4,1931,Totton1960
-31.83333333,30.33333333,4,1935,Totton1960
-45.16666667,146.0666667,3,1936,Totton1960
-12.28333333,13.51666667,4,1939,Totton1960
-10.31666667,9.6,4,1939,Totton1960
-33.96666667,154.2666667,10,1950,Totton1960
42.58333333,-11.58333333,11,1954,Totton1960
42.03333333,-13.26666667,5,1955,Totton1960
41.18333333,-14.56666667,5,1955,Totton1960
41.5,-14.28333333,5,1955,Totton1960
40.93333333,-14.88333333,5,1955,Totton1960
40.175,-14.63333333,5,1955,Totton1960
41.08333333,-14.6,5,1955,Totton1960
41.13333333,-14.53333333,6,1955,Totton1960
28.825,-13.67083333,9,1955,Totton1960
28.82916667,-13.62916667,9,1955,Totton1960
30.13333333,-15.88333333,9,1955,Totton1960
45.74166667,-10.8,10,1955,Totton1960
-27.86666667,33.08333333,8,1950,Totton1960
4.416666667,-2.766666667,10,1950,Totton1960
4.433333333,-8.283333333,10,1950,Totton1960
-15.08333333,-29.36666667,5,1948,Totton1960
-1.183333333,-27.28333333,5,1948,Totton1960
-16.2,-30.18333333,1,1954,Totton1960
-11.61666667,-29.66666667,1,1954,Totton1960
-9.05,-29.36666667,1,1954,Totton1960
-8.3,-29.25,1,1954,Totton1960
-7.666666667,-29.11666667,1,1954,Totton1960
-4.35,-28.73333333,1,1954,Totton1960
-3.783333333,-28.58333333,1,1954,Totton1960
51.952,-7.72,3,1834,Wilson1947
46.148,-1.1927,,1852,Wilson1947
50.688,-1.3,8,1862,Wilson1947
50.44,-3.546,7,1862,Wilson1947
51.054,2.36,9,1884,Wilson1947
51.93,-10.302,5,1907,Wilson1947
50.25,-11.5,8,1907,Wilson1947
48.72,-3.977,3,1912,Wilson1947
50.738,1.58,4,1912,Wilson1947
51.35,3.287,4,1912,Wilson1947
50.929,0.775,4,1912,Wilson1947
50.266,-3.89,3,1913,Wilson1947
50.347,-4.145,3,1913,Wilson1947
50.351,-4.45,3,1913,Wilson1947
52.416,-4.086,3,1913,Wilson1947
43.42,-1.616,,1919,Wilson1947
51.684,9.461,1,1921,Wilson1947
50.348,-5.162,10,1934,Wilson1947
50.576,-4.917,10,1934,Wilson1947
50.758,-4.65,10,1934,Wilson1947
-52.122,-6.93,9,1935,Wilson1947
50.015,5.249,10,1935,Wilson1947
50.41,-5.077,11,1935,Wilson1947
48.723,-3.978,8,1945,Wilson1947
47.868,3.916,9,1945,Wilson1947
50.349,-4.283,1,1946,Wilson1947
50.1186,-5.531,1,1946,Wilson1947
44.865,-1.29,8,1946,Wilson1947
49.936,-6.31,3,1912,Wilson1947
50.342,-4.145,3,1912,Wilson1947
50.266,-3.889,3,1912,Wilson1947
50.348,-4.45,3,1912,Wilson1947
50.769,0.096,3,1912,Wilson1947
50.926,0.7746,4,1912,Wilson1947
50.26,-3.858,3,1912,Wilson1947
52.515,-4.425,3,1912,Wilson1947
51.212,-4.125,4,1912,Wilson1947
50.352,-4.451,2,1913,Wilson1947
52.411,-4.091,3,1913,Wilson1947
50.265,-3.891,3,1913,Wilson1947
